product_name,brand,category,ingredients,size_packaging,image_url,product_url,brand_source,size_source,notes
"APLB – Glutathione Niacinamide Facial Cream, 55ml",APLB,Bulk Moisturizer,Glutathione; Niacinamide (Vitamin B3); Panthenol (Vitamin B5); Hyaluronic Acid; Allantoin; Adenosine,55 ml,https://qudobeauty.com/wp-content/uploads/2025/04/APLB-Glutathione-Niacinamide-Facial-Cream-55ml-1-600x600.jpg,https://qudobeauty.com/product/aplb-glutathione-niacinamide-facial-cream-55ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Medi-Peel – Hyaluron Cica Peptide 9 Ampoule Eye Patch, 60 Patches",MEDI-PEEL,Eye Patches,centella asiatica (cica); Peptide 9 Complex; hyaluronic acid; niacinamide; panthenol,60 patches,https://qudobeauty.com/wp-content/uploads/2025/04/XL_p0101078901.webp,https://qudobeauty.com/product/medi-peel-hyaluron-cica-peptide-9-ampoule-eye-patch-60-patches/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Medi-Peel – Hyaluron Dark Benone 9 Peptide Ampoule Eye Patch, 60 Patches",MEDI-PEEL,Eye Patches,hyaluronic acid; Peptide 9 Complex; niacinamide; panthenol; brightening antioxidants,60 patches,https://qudobeauty.com/wp-content/uploads/2025/04/0f6f0945-3bc7-4122-a07d-129c48ec96f1-600x600.jpg,https://qudobeauty.com/product/medi-peel-hyaluron-dark-benone-9-peptide-ampoule-eye-patch-60-patches/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
Haruharu Wonder – Cleanse and Glow Set,Haruharu Wonder,Travel Makeup Kit,Black Rice Moisture Deep Cleansing Oil; Black Rice Triple AHA Gentle Cleansing Gel; Black Rice Hyaluronic Toner for Sensitive Skin,150 ml + 100 ml + 150 ml,https://qudobeauty.com/wp-content/uploads/2025/04/veel-haruharu-wonder-cleanse-and-glow-set.webp,https://qudobeauty.com/product/haruharu-wonder-cleanse-and-glow-set/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Mary & May – Soothing Trouble Care Travel Kit, 30ml+30ml+10ml+12g+12g",Mary & May,,Soothing Toner (30 ml); Balancing Serum (30 ml); Hydrating Moisturizer (10 ml); Spot Care Patches or Mask (12 g); Refreshing Sheet Mask or Patch Set (12 g),30 ml + 30 ml + 10 ml + 12 g + 12 g,https://qudobeauty.com/wp-content/uploads/2025/04/mary_may_travel_kit-600x600.png,https://qudobeauty.com/product/mary-may-soothing-trouble-care-travel-kit-30ml30ml10ml12g12g/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
Pimple Patches Wholesale,,,,,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/cat/wholesale-face-care/pimple-patches/,missing,missing,Brand not explicitly stated on product page; Size/packaging not explicitly stated on product page; Ingredients not found on product page
VT Cosmetics – Cica Care Spot Patch – 1pack(48 Patches),VT Cosmetics,,"Hydro; Centella Asiatica extract; Translucent, thin & beveled; Waterproof and sweat",,https://qudobeauty.com/wp-content/uploads/2025/04/vt-cica-care-spot-patch-1pack-48-patches-196-600x600.jpg,https://qudobeauty.com/product/vt-cica-care-spot-patch-1pack48-patches/,explicit_text,missing,Size/packaging not explicitly stated on product page; Ingredients captured as key actives (full INCI not confirmed)
"Anua – Niacinamide 10% + Tranexamin Acid 4% Serum, 30ml",Anua,Bulk Serums,Niacinamide (10%); Tranexamic Acid (4%); Panthenol (Vitamin B5); Allantoin; Hyaluronic Acid; Centella Asiatica Extract,30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/61odQWUlZiL-600x600.jpg,https://qudobeauty.com/product/anua-niacinamide-10-tranexamin-acid-4-serum-30-ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Beauty of Joseon – Calming Serum Green Tea + Panthenol, 30ml",Beauty of Joseon,Bulk Serums,"Green Tea Extract (50%); Panthenol (Vitamin B5, 30%); Centella Asiatica Extract; Mugwort Extract (Artemisia Princeps); Hyaluronic Acid; Allantoin",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/1751784245686a1b2b79f23.jpg,https://qudobeauty.com/product/beauty-of-joseon-calming-serum-green-tea-panthenol-30-ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Anua – Birch 70 Moisture Boosting Toner, 250ml",Anua,Bulk Toners,Birch Sap (70%); Hyaluronic Acid; Panthenol (Vitamin B5); Allantoin; Centella Asiatica Extract,250 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Birch-70-Moisture-Boosting-Toner.jpg,https://qudobeauty.com/product/anua-birch-70-moisture-boosting-toner-250ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Beauty of Joseon – Red Bean Water Gel, 100ml",Beauty of Joseon,,Red Bean Extract (Haenam Red Bean 44%); Peptide Complex; Niacinamide (Vitamin B3); Panthenol (Vitamin B5); Hyaluronic Acid; Allantoin,100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/K-Beauty-of-Joseon-Red-Bean-Water-Gel-100ml-mit-EAN-8809738316993-600x600.webp,https://qudobeauty.com/product/beauty-of-joseon-red-bean-water-gel-100-ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
Round Lab – Birch Juice Trial Kit (Cleanser+Toner+Ampoule+Cream),ROUND LAB,Travel Makeup Kit,birch sap (birch juice); hyaluronic acid; panthenol; allantoin; betaine,trial kit,https://qudobeauty.com/wp-content/uploads/2025/04/986067_1_1731069069.webp,https://qudobeauty.com/product/round-lab-birch-juice-trial-kit-cleansertonerampoulecream/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"Beauty of Joseon – Matte Sun Stick Mugwort + Camilia SPF50 PA++++, 18g",Beauty of Joseon,SPF,Mugwort (Artemisia Capillaris) Extract; Camellia Sinensis Seed Oil; Silica Powder; Niacinamide (Vitamin B3); Green Tea Extract; Centella Asiatica Extract,18 g,https://qudobeauty.com/wp-content/uploads/2025/04/Beauty-of-joseon-matte-sun-stick-600x600.jpg,https://qudobeauty.com/product/beauty-of-joseon-matte-sun-stick-mugwort-camilia-spf50-pa-18-g/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
Numbuzin – No.1 Clear Filter Sun Essence SPF 50+ PA ++++ – 50ml,Numbuzin,SPF,UVA & UVB filters; niacinamide; centella asiatica extract; hyaluronic acid & humectants; soft,50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/8809652581705-600x600.webp,https://qudobeauty.com/product/numbuzin-no-1-clear-filter-sun-essence-spf-50-pa-50ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
"AXIS-Y – Vegan Collagen Eye Serum, 10ml",AXIS-Y,Eye Cream,Vegan Collagen; Niacinamide (Vitamin B3); Panthenol (Vitamin B5); Adenosine; Hyaluronic Acid; Green Tea Extract,10 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_724db353726eb02b961e903beedeecc9-copy-600x600.png,https://qudobeauty.com/product/axis-y-vegan-collagen-eye-serum-10ml/,explicit_text,capacity_section,Ingredients captured as key actives (full INCI not confirmed)
